Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12287	90.25856	99.02248
0000c011-5eb7-4ae1-b07d-979043585ed0	37885	88.65367	99.24304
00043524-2823-4a9d-897d-645e89ecbeac	17640	93.66362	99.60780
00188118-bfca-4773-9fc3-af9530613015	40836	93.77834	99.69629
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12463	94.72599	99.47665
00254ba9-3830-4d82-9679-913618d2bc55	25700	95.56679	99.02067
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12408	93.85601	99.62007
002d791a-01da-40d9-9e55-1fe30eeadca4	35965	96.05826	99.50301
00483b1b-2f5b-443f-b0ef-42f867480292	23287	95.31487	98.72853
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39858	93.93872	99.34743
0067cd72-629a-4376-96a1-51830f650956	15774	93.26851	99.50372
007a1f18-c232-48a8-92b8-ddf560adcc80	25763	95.49946	99.49176
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23552	94.34471	98.60983
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18779	87.90075	97.89254
0088390d-488e-4eb5-aa01-a3285c66a711	19456	93.28489	98.78223
008b006b-136a-4541-92e4-55dadaa7300a	16541	92.04492	98.37028
008df9f1-1b37-46d4-a58a-9c4717e003bd	19097	87.98793	101.40527
009b303f-97fc-4f34-8e57-18b779104da4	22620	92.93829	98.79085
009ee966-34ea-4249-81d0-9bb1572924e6	27631	94.99823	98.59852
00a55e15-9575-42fa-9360-a1996b50fd94	24894	95.40257	99.23462
00aaba12-d10f-443c-99df-3aa23c61c034	10828	92.32566	98.05034
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18617	93.88440	98.41380
00b73132-e590-4ebe-a256-0e73d1c14e45	43892	93.26454	100.60219
00c59698-67e3-4a98-a95f-167e4f833272	14538	95.33872	99.22273
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23893	95.61096	99.27754
00c7fe69-1476-43e3-8b21-3b521c5103ba	14823	95.27464	99.64099
00cd6daa-7934-4318-81ff-24d6d2693af6	62068	92.50630	98.55949
00d19f54-4eb3-4f80-878f-3d42ac37db50	10917	94.37511	99.10960
00d84ccc-013d-4fae-bca9-b3ed09080509	81446	94.27782	98.56764
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48824	88.38228	96.53698
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16369	86.69638	95.85465
00df3c17-8d45-44c7-a91f-2b2eb924df76	12223	94.43415	99.95889
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10375	88.59476	99.95128
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13810	96.35555	99.39881
00f42108-fbc4-42a0-8710-18bd5eeb3218	21121	88.52976	99.15931
00f84c20-8b6a-4f80-af78-83628f0f323e	10392	93.32263	98.74111
00fbd6f6-6da9-4432-b23b-98320204c53f	17390	93.67658	99.15832
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10789	94.43170	99.89710
00fe9974-8f26-49b5-89f9-d94f590a97eb	15127	94.20186	99.14101
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15173	96.85255	99.01368
0100ab11-1984-42ad-b292-5a92faad7a53	10535	91.58265	98.07801
