Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24279	85.01566	96.57257
0005323f-791d-4bd1-bd5f-3f110cb72b08	39969	94.45197	99.02575
00077d28-f985-4800-898e-d4baede5d2aa	54650	92.81859	98.89727
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39364	93.41942	98.99362
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35178	86.26065	98.01124
001d8d6e-757f-480d-a669-0006d8a5f626	43162	91.27206	95.60842
001f7476-594f-4678-af46-5099a88715d6	43549	93.63992	98.57201
00230607-1f5e-4ef3-9671-469337df680e	51803	93.85594	98.66544
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51621	89.74765	98.86346
00297c69-4e23-4bd1-ac47-19cb7be83482	29824	94.24590	98.82204
002ad6a6-683b-4690-b9c6-575bcabf37ce	24536	94.33774	98.82181
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30042	88.90783	96.54382
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38942	93.03885	98.76851
00390b97-655b-46b0-a98b-58447dd648da	51778	87.65478	98.62336
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26250	92.00119	99.67954
004859f1-928a-4eaf-baf9-05d6d22e6a39	32757	73.77253	96.86407
00522979-c6f1-469f-8be0-79be118254e5	34732	87.77105	98.36294
005dc13e-03d7-476a-b96e-8ab951632af7	21955	81.33189	101.99486
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30471	93.33803	98.74410
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61456	94.71716	98.85087
0061df3e-73ca-45e3-a1af-acefebde42f7	23076	88.75643	99.53182
00655c70-1351-4499-a549-cf7d37787857	24618	81.33823	95.07070
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46390	85.14958	97.24861
0067d222-d113-46c9-8786-b9abab8e4cfe	35181	91.80156	98.74951
006bfc22-acbe-4577-b755-ccf23d255cd9	24828	85.78978	92.15884
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33687	88.89612	97.89102
0075fd5b-313a-48e1-8c75-484ee3840279	43337	91.61912	98.11569
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25624	93.52802	99.52006
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22455	95.15839	99.16989
007ed5ba-a641-43c9-88b0-547ffd8952c8	31198	92.43119	98.79530
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26191	93.87778	98.85872
0080aae4-bb96-4aaa-857a-927e2db3b71b	62298	94.00494	99.53415
0085852b-6a7c-4f6d-bfc7-0d490a28d968	32008	81.94399	99.65195
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25498	88.95353	97.03319
00a1a5b4-43b7-48d5-84fb-be8040321103	27430	94.35446	99.05636
00a37701-ab30-4634-bdea-177896677e22	36535	89.37748	98.46391
00b5ce50-59cb-493a-94a4-dba854087886	26865	87.65908	97.25101
00bd02df-db70-4d71-a40a-513c1eee4a2c	24115	86.94165	97.29938
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24319	87.08869	97.96356
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33732	93.50619	98.63532
00cc2868-998d-4ec6-99cc-458917e05188	47482	86.86996	97.90220
00cda24f-c49d-4974-880c-b8a0ec00183d	66668	92.09916	98.60424
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40771	93.00749	98.75826
00d4fc3b-9848-4d01-a320-653852d68990	65385	91.37257	98.20797
00d5ebcd-4727-44e2-9800-8123837e80d4	45311	85.84729	96.89932
00d7992e-006f-48b6-be8c-e51905fda9ee	29157	89.41631	96.05411
00dd83e2-b142-4917-9dd4-8bfef0e895b4	69087	91.82897	98.86328
00e60ace-39f1-4a34-aeed-87ac2d214fac	25367	92.88730	98.64395
00e78f56-6438-444f-af8c-d66b9a695bad	78214	92.86161	100.59650
00e9aa99-0025-4d45-827f-2892f15e1ded	26404	90.02729	98.32778
00ef41bb-b716-411e-9a73-e8ff95758820	30852	83.40329	98.35666
00f76a80-ce33-40fc-9f0a-8e4db26cabf4	36483	94.45442	98.69432
00f90c84-0921-44fc-ba5d-f1b244a7d9c4	24753	88.10419	96.83519
00fcb531-d045-4f64-94af-1e15aa90726e	29779	88.40945	99.34010
0101a7bd-66b2-4b83-9228-5fa424a743e2	50119	85.02609	93.99434
010ed54d-2c7f-48f8-8143-5e61bcefc86e	24110	93.19380	99.16488
010efc3a-5954-4192-8b1f-605a8fe3f57a	44682	94.08360	98.73923
0111425a-4694-4dc2-809d-e3fb7e606952	42050	91.25175	98.35889
0113008f-2e5e-4683-8035-c8539b7a2cf4	22545	83.07329	96.50762
0117cfef-4330-49af-a1fa-55ba10670a48	33400	87.90698	98.49333
0119c56e-8ca4-408d-9437-c00d3376724e	30170	90.90264	99.23362
012a1baa-7674-4ced-8986-d25685a3db1f	54902	86.96575	97.93156
012a5c36-a376-41d4-8202-ba109f64a045	38437	92.10586	98.14782
012ab4f9-9623-4aad-9d55-d2f58df5bf81	62432	71.47331	93.68186
012b331e-7a57-40d1-b8b0-dbb59a6d7b2b	43200	93.43178	99.00267
012d88c7-d7be-4cb1-955e-f715b56fc785	45176	88.44688	97.37223
0135b3ea-119a-4b90-bb23-c4a259b5485c	22429	85.96267	98.96198
013b50b8-059f-4ea1-b72c-5b860d934ab6	22826	90.03815	98.87636
014173c1-d464-4167-b298-e0830c537817	36574	93.04292	99.02488
014388b1-7568-44f8-8ab7-28138c974c1c	41391	90.92436	98.58358
01453be5-a426-476c-a620-8d000d05e321	30856	94.68024	99.30194
01496e86-5502-4a77-bc5a-29d9c4a03054	52080	94.45436	99.02037
01497bf6-f687-45e8-80e7-cf78cdc58a94	50399	92.97308	98.77606
