Assembly	num_contigs	total_length	identity
lossless_flye	1	5105685	99.81727%
lossless_rebaler	1	5108425	99.88808%
lossless_medaka	1	5112481	99.94901%
LFZip_maxerror_1_flye	1	5105652	99.81823%
LFZip_maxerror_1_rebaler	1	5108347	99.88908%
LFZip_maxerror_1_medaka	1	5112447	99.94801%
SZ_maxerror_1_flye	1	5105662	99.81827%
SZ_maxerror_1_rebaler	1	5108299	99.8841%
SZ_maxerror_1_medaka	1	5112442	99.949%
LFZip_maxerror_2_flye	1	5105530	99.81625%
LFZip_maxerror_2_rebaler	1	5108295	99.8841%
LFZip_maxerror_2_medaka	1	5112441	99.948%
SZ_maxerror_2_flye	1	5105547	99.81528%
SZ_maxerror_2_rebaler	1	5108328	99.88411%
SZ_maxerror_2_medaka	1	5112467	99.94901%
LFZip_maxerror_3_flye	1	5105421	99.81626%
LFZip_maxerror_3_rebaler	1	5108256	99.88309%
LFZip_maxerror_3_medaka	1	5112396	99.94801%
SZ_maxerror_3_flye	1	5105468	99.81425%
SZ_maxerror_3_rebaler	1	5108286	99.88411%
SZ_maxerror_3_medaka	1	5112404	99.95001%
LFZip_maxerror_4_flye	1	5105208	99.8083%
LFZip_maxerror_4_rebaler	1	5108347	99.8821%
LFZip_maxerror_4_medaka	1	5112437	99.94793%
SZ_maxerror_4_flye	1	5105294	99.81426%
SZ_maxerror_4_rebaler	1	5108185	99.88709%
SZ_maxerror_4_medaka	1	5112376	99.94901%
LFZip_maxerror_5_flye	1	5104961	99.80529%
LFZip_maxerror_5_rebaler	1	5108199	99.8811%
LFZip_maxerror_5_medaka	1	5112339	99.94701%
SZ_maxerror_5_flye	1	5104996	99.80631%
SZ_maxerror_5_rebaler	1	5108244	99.88309%
SZ_maxerror_5_medaka	1	5112390	99.94801%
LFZip_maxerror_6_flye	1	5104699	99.80132%
LFZip_maxerror_6_rebaler	1	5108117	99.88309%
LFZip_maxerror_6_medaka	1	5112277	99.94801%
SZ_maxerror_6_flye	1	5104692	99.80131%
SZ_maxerror_6_rebaler	1	5108155	99.88109%
SZ_maxerror_6_medaka	1	5112335	99.94701%
LFZip_maxerror_7_flye	1	5104287	99.79732%
LFZip_maxerror_7_rebaler	1	5107960	99.8781%
LFZip_maxerror_7_medaka	1	5112247	99.946%
SZ_maxerror_7_flye	1	5104301	99.79232%
SZ_maxerror_7_rebaler	1	5108041	99.87911%
SZ_maxerror_7_medaka	1	5112255	99.94901%
LFZip_maxerror_8_flye	1	5103910	99.78436%
LFZip_maxerror_8_rebaler	1	5107864	99.87312%
LFZip_maxerror_8_medaka	1	5112205	99.94701%
SZ_maxerror_8_flye	1	5103653	99.78735%
SZ_maxerror_8_rebaler	1	5107851	99.8761%
SZ_maxerror_8_medaka	1	5112200	99.94601%
LFZip_maxerror_9_flye	1	5103195	99.77444%
LFZip_maxerror_9_rebaler	1	5107603	99.86812%
LFZip_maxerror_9_medaka	1	5112107	99.94501%
SZ_maxerror_9_flye	1	5102950	99.77344%
SZ_maxerror_9_rebaler	1	5107619	99.87111%
SZ_maxerror_9_medaka	1	5112029	99.94301%
LFZip_maxerror_10_flye	1	5102487	99.76049%
LFZip_maxerror_10_rebaler	1	5107410	99.86513%
LFZip_maxerror_10_medaka	1	5112024	99.94301%
SZ_maxerror_10_flye	1	5102226	99.74954%
SZ_maxerror_10_rebaler	1	5107293	99.86015%
SZ_maxerror_10_medaka	1	5111945	99.94101%
