Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12284	90.36850	98.98990
0000c011-5eb7-4ae1-b07d-979043585ed0	37906	88.66998	99.30612
00043524-2823-4a9d-897d-645e89ecbeac	17638	93.87550	99.56801
00188118-bfca-4773-9fc3-af9530613015	40855	93.77519	99.75262
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12485	94.66593	99.60548
00254ba9-3830-4d82-9679-913618d2bc55	25710	95.61722	99.05938
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12383	93.85775	99.46104
002d791a-01da-40d9-9e55-1fe30eeadca4	35980	96.03455	99.54188
00483b1b-2f5b-443f-b0ef-42f867480292	23304	95.41207	98.80907
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39876	93.96791	99.38744
0067cd72-629a-4376-96a1-51830f650956	15757	93.30881	99.38920
007a1f18-c232-48a8-92b8-ddf560adcc80	25762	95.44636	99.48788
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23539	94.37461	98.55103
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18780	87.87545	97.88060
0088390d-488e-4eb5-aa01-a3285c66a711	19448	93.30225	98.74147
008b006b-136a-4541-92e4-55dadaa7300a	16549	91.95159	98.41821
008df9f1-1b37-46d4-a58a-9c4717e003bd	19091	87.92270	101.36758
009b303f-97fc-4f34-8e57-18b779104da4	22641	92.86728	98.88285
009ee966-34ea-4249-81d0-9bb1572924e6	27630	94.96120	98.59852
00a55e15-9575-42fa-9360-a1996b50fd94	24898	95.49592	99.25065
00aaba12-d10f-443c-99df-3aa23c61c034	10853	92.33393	98.24256
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18616	93.81751	98.41912
00b73132-e590-4ebe-a256-0e73d1c14e45	43851	93.30840	100.50795
00c59698-67e3-4a98-a95f-167e4f833272	14537	95.31993	99.21585
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23859	95.72212	99.13138
00c7fe69-1476-43e3-8b21-3b521c5103ba	14837	95.27081	99.73583
00cd6daa-7934-4318-81ff-24d6d2693af6	62077	92.52527	98.57382
00d19f54-4eb3-4f80-878f-3d42ac37db50	10916	94.42836	99.10042
00d84ccc-013d-4fae-bca9-b3ed09080509	81484	94.34468	98.61369
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48781	88.44266	96.45382
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16364	86.66095	95.82525
00df3c17-8d45-44c7-a91f-2b2eb924df76	12224	94.46414	99.96711
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10393	88.34005	100.13641
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13807	96.30028	99.38433
00f42108-fbc4-42a0-8710-18bd5eeb3218	21119	88.60371	99.14514
00f84c20-8b6a-4f80-af78-83628f0f323e	10392	93.37867	98.75072
00fbd6f6-6da9-4432-b23b-98320204c53f	17379	93.73806	99.10678
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10787	94.57450	99.89710
00fe9974-8f26-49b5-89f9-d94f590a97eb	15127	94.29148	99.14101
